,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
214,77,63,19,18,8067.5,21,8025.5,14,-1463,14,0,0,"(47, 0.015, 0.7)"
215,71,69,22,17,8106.0,21,8067.5,14,-1491,0,0,0,"(47, 0.015, 0.7)"
216,77,63,19,18,8144.5,21,8102.5,14,-1477,14,0,0,"(47, 0.015, 0.7)"
217,71,69,22,17,8183.0,21,8144.5,14,-1505,0,0,0,"(47, 0.015, 0.7)"
218,77,63,19,18,8221.5,21,8179.5,14,-1491,14,0,0,"(47, 0.015, 0.7)"
219,71,69,22,17,8260.0,21,8221.5,14,-1519,0,0,0,"(47, 0.015, 0.7)"
220,77,63,19,18,8298.5,21,8256.5,14,-1505,14,0,0,"(47, 0.015, 0.7)"
221,71,69,22,17,8337.0,21,8298.5,14,-1533,0,0,0,"(47, 0.015, 0.7)"
222,77,63,19,18,8375.5,21,8333.5,14,-1519,14,0,0,"(47, 0.015, 0.7)"
223,71,69,22,17,8414.0,21,8375.5,14,-1547,0,0,0,"(47, 0.015, 0.7)"
224,77,63,19,18,8452.5,21,8410.5,14,-1533,14,0,0,"(47, 0.015, 0.7)"
225,71,69,22,17,8491.0,21,8452.5,14,-1561,0,0,0,"(47, 0.015, 0.7)"
226,77,63,19,18,8529.5,21,8487.5,14,-1547,14,0,0,"(47, 0.015, 0.7)"
227,71,69,22,17,8568.0,21,8529.5,14,-1575,0,0,0,"(47, 0.015, 0.7)"
228,77,63,19,18,8606.5,21,8564.5,14,-1561,14,0,0,"(47, 0.015, 0.7)"
229,71,69,22,17,8645.0,21,8606.5,14,-1589,0,0,0,"(47, 0.015, 0.7)"
230,77,63,19,18,8683.5,21,8641.5,14,-1575,14,0,0,"(47, 0.015, 0.7)"
231,71,69,22,17,8722.0,21,8683.5,14,-1603,0,0,0,"(47, 0.015, 0.7)"
232,77,63,19,18,8760.5,21,8718.5,14,-1589,14,0,0,"(47, 0.015, 0.7)"
233,71,69,22,17,8799.0,21,8760.5,14,-1617,0,0,0,"(47, 0.015, 0.7)"
234,77,63,19,18,8837.5,21,8795.5,14,-1603,14,0,0,"(47, 0.015, 0.7)"
235,71,69,22,17,8876.0,21,8837.5,14,-1631,0,0,0,"(47, 0.015, 0.7)"
236,77,63,19,18,8914.5,21,8872.5,14,-1617,14,0,0,"(47, 0.015, 0.7)"
237,71,69,22,17,8953.0,21,8914.5,14,-1645,0,0,0,"(47, 0.015, 0.7)"
238,77,63,19,18,8991.5,21,8949.5,14,-1631,14,0,0,"(47, 0.015, 0.7)"
239,71,69,22,17,9030.0,21,8991.5,14,-1659,0,0,0,"(47, 0.015, 0.7)"
240,77,63,19,18,9068.5,21,9026.5,14,-1645,14,0,0,"(47, 0.015, 0.7)"
241,71,69,22,17,9107.0,21,9068.5,14,-1673,0,0,0,"(47, 0.015, 0.7)"
242,77,63,19,18,9145.5,21,9103.5,14,-1659,14,0,0,"(47, 0.015, 0.7)"
243,71,69,22,17,9184.0,21,9145.5,14,-1687,0,0,0,"(47, 0.015, 0.7)"
244,77,63,19,18,9222.5,21,9180.5,14,-1673,14,0,0,"(47, 0.015, 0.7)"
245,71,69,22,17,9261.0,21,9222.5,14,-1701,0,0,0,"(47, 0.015, 0.7)"
246,77,63,19,18,9299.5,21,9257.5,14,-1687,14,0,0,"(47, 0.015, 0.7)"
247,71,69,22,17,9338.0,21,9299.5,14,-1715,0,0,0,"(47, 0.015, 0.7)"
248,77,63,19,18,9376.5,21,9334.5,14,-1701,14,0,0,"(47, 0.015, 0.7)"
249,71,69,22,17,9415.0,21,9376.5,14,-1729,0,0,0,"(47, 0.015, 0.7)"
250,77,63,19,18,9453.5,21,9411.5,14,-1715,14,0,0,"(47, 0.015, 0.7)"
