,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,Model Params
309,10,0,0,0,0.0,0,0,0,261.0,3,"(16, 0.001, 0.1)"
310,10,0,0,0,0.0,0,0,0,265.5,3,"(16, 0.001, 0.1)"
311,10,0,0,0,0.0,0,0,0,270.0,3,"(16, 0.001, 0.1)"
312,10,0,0,0,0.0,0,0,0,274.5,3,"(16, 0.001, 0.1)"
313,10,0,0,0,0.0,0,0,0,279.0,3,"(16, 0.001, 0.1)"
314,10,0,0,0,0.0,0,0,0,283.5,3,"(16, 0.001, 0.1)"
315,10,0,0,0,0.0,0,0,0,288.0,3,"(16, 0.001, 0.1)"
316,10,0,0,0,0.0,0,0,0,292.5,3,"(16, 0.001, 0.1)"
317,10,0,0,0,0.0,0,0,0,297.0,3,"(16, 0.001, 0.1)"
318,10,0,0,0,0.0,0,0,0,301.5,3,"(16, 0.001, 0.1)"
319,10,0,0,0,0.0,0,0,0,306.0,3,"(16, 0.001, 0.1)"
320,10,0,0,0,0.0,0,0,0,310.5,3,"(16, 0.001, 0.1)"
321,10,0,0,0,0.0,0,0,0,315.0,3,"(16, 0.001, 0.1)"
322,10,0,0,0,0.0,0,0,0,319.5,3,"(16, 0.001, 0.1)"
