,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,LEARN Performance,MutualCooperations,LEARN Cooperations,moodyLEARN Performance,moodyMutualCooperations,moodyLEARN Cooperations,Model Params
2972,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,223425,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2973,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,223500,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2974,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,223575,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2975,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,223650,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2976,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,223725,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2977,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,223800,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2978,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,223875,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2979,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,223950,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2980,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,224025,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2981,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,224100,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2982,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,224175,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2983,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,224250,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2984,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,224325,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2985,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,224400,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2986,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,224475,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2987,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,224550,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2988,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,224625,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2989,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,224700,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2990,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,224775,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2991,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,224850,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2992,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,224925,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2993,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,225000,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2994,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,225075,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2995,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,225150,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2996,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,225225,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2997,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,225300,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
